time,C,D,E,I,S,T
0.480499999999999, 2937.7955297, 12.6629308, 0.3224000, 869.9597961, 5735.3773080, 43.6254837
0.483599999999999, 2950.2049635, 12.8434719, 0.3244667, 874.7911788, 5718.0527268, 43.5414204
0.486699999999999, 2962.4970138, 13.0250078, 0.3265333, 879.5987933, 5700.8698470, 43.4555604
0.489799999999999, 2974.6727222, 13.2075335, 0.3286000, 884.3828143, 5683.8273765, 43.3679895
0.492899999999999, 2986.7331209, 13.3910444, 0.3306667, 889.1434150, 5666.9240374, 43.2787905
0.495999999999999, 2998.6792326, 13.5755355, 0.3327333, 893.8807672, 5650.1585649, 43.1880432
0.499099999999999, 3010.5120709, 13.7610020, 0.3348000, 898.5950410, 5633.5297079, 43.0958249
0.502199999999999, 3022.2326404, 13.9474393, 0.3368667, 903.2864053, 5617.0362282, 43.0022102
0.505299999999999, 3033.8419364, 14.1348426, 0.3389333, 907.9550272, 5600.6769007, 42.9072709
0.508399999999999, 3045.3409454, 14.3232073, 0.3410000, 912.6010725, 5584.4505132, 42.8110764
0.511499999999999, 3056.7306449, 14.5125287, 0.3430667, 917.2247055, 5568.3558658, 42.7136938
0.514599999999999, 3068.0120037, 14.7028021, 0.3451333, 921.8260892, 5552.3917716, 42.6151876
0.517699999999999, 3079.1859820, 14.8940231, 0.3472000, 926.4053850, 5536.5570554, 42.5156201
0.520799999999999, 3090.2535312, 15.0861871, 0.3492667, 930.9627530, 5520.8505545, 42.4150515
0.523899999999999, 3101.2155942, 15.2792895, 0.3513333, 935.4983519, 5505.2711179, 42.3135397
0.526999999999999, 3112.0731055, 15.4733260, 0.3534000, 940.0123391, 5489.8176067, 42.2111406
0.530099999999999, 3122.8269913, 15.6682920, 0.3554667, 944.5048703, 5474.4888933, 42.1079080
0.533199999999999, 3133.4781694, 15.8641832, 0.3575333, 948.9761003, 5459.2838616, 42.0038938
0.536299999999999, 3144.0275494, 16.0609951, 0.3596000, 953.4261824, 5444.2014071, 41.8991481
0.539399999999999, 3154.4760328, 16.2587235, 0.3616667, 957.8552683, 5429.2404362, 41.7937190
0.542499999999999, 3164.8245132, 16.4573639, 0.3637333, 962.2635089, 5414.3998664, 41.6876530
