,C,D,I,S,T
2.05, 335305.4319868, 14.6380958, 100.0590052, 41977.8207462, 6582.0439623
2.06, 336025.1618341, 14.8116632, 100.1593790, 41187.5269483, 6540.3263105
2.07, 336728.9981546, 14.9853975, 100.2543873, 40412.1277049, 6499.3788507
2.08, 337417.2413736, 15.1592897, 100.3441376, 39651.3526227, 6459.1765659
2.09, 338090.1864522, 15.3333307, 100.4287350, 38904.9356066, 6419.6955142
2.1, 338748.1229748, 15.5075117, 100.5082828, 38172.6148274, 6380.9127761
2.11, 339391.3352359, 15.6818242, 100.5828827, 37454.1326864, 6342.8064034
2.12, 340020.1023262, 15.8562597, 100.6526341, 36749.2357787, 6305.3553718
2.13, 340634.6982178, 16.0308098, 100.7176347, 36057.6748541, 6268.5395359
2.14, 341235.3918482, 16.2054666, 100.7779805, 35379.2047773, 6232.3395863
2.15, 341822.4472045, 16.3802220, 100.8337657, 34713.5844853, 6196.7370094
2.16, 342396.1234054, 16.5550683, 100.8850826, 34060.5769446, 6161.7140493
2.17, 342956.6747836, 16.7299978, 100.9320220, 33419.9491072, 6127.2536716
2.18, 343504.3509661, 16.9050031, 100.9746727, 32791.4718645, 6093.3395289
2.19, 344039.3969543, 17.0800768, 101.0131221, 32174.9200020, 6059.9559289
2.2, 344562.0532031, 17.2552118, 101.0474560, 31570.0721517, 6027.0878032
2.21, 345072.5556986, 17.4304011, 101.0777583, 30976.7107451, 5994.7206784
2.22, 345571.1360353, 17.6056377, 101.1041116, 30394.6219647, 5962.8406484
2.23, 346058.0214918, 17.7809150, 101.1265968, 29823.5956955, 5931.4343482
2.24, 346533.4351062, 17.9562263, 101.1452934, 29263.4254762, 5900.4889291
2.25, 346997.5957497, 18.1315651, 101.1602793, 28713.9084501, 5869.9920351
2.26, 347450.7181999, 18.3069252, 101.1716310, 28174.8453157, 5839.9317804
2.27, 347893.0132125, 18.4823004, 101.1794234, 27646.0402768, 5810.2967282
2.28, 348324.6875923, 18.6576845, 101.1837303, 27127.3009937, 5781.0758706
2.29, 348745.9442633, 18.8330716, 101.1846237, 26618.4385328, 5752.2586093
2.29999999999999, 349156.9823375, 19.0084559, 101.1821745, 26119.2673176, 5723.8347372
2.30999999999999, 349557.9971827, 19.1838316, 101.1764523, 25629.6050791, 5695.7944215
2.31999999999999, 349949.1804896, 19.3591933, 101.1675252, 25149.2728065, 5668.1281868
