,C,D,I,S,T
0.824599999999998, 3781.8220035, 37.8716321, 1292.2485625, 4453.6179735, 32.2545024
0.827699999999998, 3785.9121352, 38.1391608, 1295.2407620, 4446.3498200, 32.1663865
0.830799999999998, 3789.9586072, 38.4073062, 1298.2217895, 4439.1354560, 32.0786746
0.833899999999998, 3793.9618092, 38.6760659, 1301.1917138, 4431.9744266, 31.9913658
0.836999999999998, 3797.9221271, 38.9454377, 1304.1506035, 4424.8662811, 31.9044591
0.840099999999998, 3801.8399438, 39.2154193, 1307.0985266, 4417.8105726, 31.8179536
0.843199999999998, 3805.7156386, 39.4860084, 1310.0355504, 4410.8068582, 31.7318482
0.846299999999998, 3809.5495878, 39.7572029, 1312.9617418, 4403.8546986, 31.6461419
0.849399999999998, 3813.3421640, 40.0290004, 1315.8771671, 4396.9536587, 31.5608336
0.852499999999998, 3817.0937369, 40.3013988, 1318.7818921, 4390.1033070, 31.4759221
0.855599999999998, 3820.8046727, 40.5743958, 1321.6759822, 4383.3032158, 31.3914062
0.858699999999998, 3824.4753346, 40.8479893, 1324.5595019, 4376.5529611, 31.3072847
0.861799999999998, 3828.1060825, 41.1221772, 1327.4325157, 4369.8521227, 31.2235564
0.864899999999998, 3831.6972732, 41.3969571, 1330.2950872, 4363.2002840, 31.1402199
0.867999999999998, 3835.2492605, 41.6723270, 1333.1472796, 4356.5970320, 31.0572740
0.871099999999998, 3838.7623949, 41.9482848, 1335.9891557, 4350.0419574, 30.9747172
0.874199999999998, 3842.2370240, 42.2248283, 1338.8207776, 4343.5346544, 30.8925483
0.877299999999998, 3845.6734923, 42.5019555, 1341.6422072, 4337.0747206, 30.8107658
0.880399999999998, 3849.0721411, 42.7796642, 1344.4535056, 4330.6617574, 30.7293682
0.883499999999998, 3852.4333092, 43.0579523, 1347.2547337, 4324.2953695, 30.6483542
0.886599999999998, 3855.7573320, 43.3368177, 1350.0459516, 4317.9751650, 30.5677223
0.889699999999998, 3859.0445420, 43.6162585, 1352.8272191, 4311.7007555, 30.4874709
0.892799999999998, 3862.2952692, 43.8962725, 1355.5985957, 4305.4717559, 30.4075986
0.895899999999998, 3865.5098402, 44.1768578, 1358.3601401, 4299.2877845, 30.3281039
0.898999999999998, 3868.6885791, 44.4580123, 1361.1119108, 4293.1484629, 30.2489851
0.902099999999998, 3871.8318069, 44.7397339, 1363.8539657, 4287.0534161, 30.1702407
0.905199999999998, 3874.9398421, 45.0220208, 1366.5863622, 4281.0022721, 30.0918692
0.908299999999998, 3878.0130002, 45.3048708, 1369.3091573, 4274.9946624, 30.0138690
0.911399999999998, 3881.0515940, 45.5882821, 1372.0224077, 4269.0302215, 29.9362384
0.914499999999998, 3884.0559336, 45.8722527, 1374.7261695, 4263.1085873, 29.8589758
0.917599999999998, 3887.0263263, 46.1567806, 1377.4204984, 4257.2294005, 29.7820796
0.920699999999998, 3889.9630769, 46.4418638, 1380.1054495, 4251.3923053, 29.7055482
0.923799999999998, 3892.8664872, 46.7275005, 1382.7810778, 4245.5969487, 29.6293799
0.926899999999998, 3895.7368568, 47.0136887, 1385.4474376, 4239.8429810, 29.5535730
0.929999999999998, 3898.5744823, 47.3004265, 1388.1045829, 4234.1300552, 29.4781259
0.933099999999998, 3901.3796580, 47.5877121, 1390.7525671, 4228.4578277, 29.4030370
0.936199999999998, 3904.1526754, 47.8755435, 1393.3914435, 4222.8259576, 29.3283044
0.939299999999998, 3906.8938236, 48.1639188, 1396.0212647, 4217.2341070, 29.2539266
0.942399999999998, 3909.6033890, 48.4528363, 1398.6420830, 4211.6819410, 29.1799018
0.945499999999998, 3912.2816558, 48.7422940, 1401.2539504, 4206.1691276, 29.1062283
0.948599999999998, 3914.9289054, 49.0322901, 1403.8569181, 4200.6953377, 29.0329045
0.951699999999998, 3917.5454170, 49.3228228, 1406.4510375, 4195.2602449, 28.9599286
0.954799999999998, 3920.1314671, 49.6138902, 1409.0363590, 4189.8635257, 28.8872989
0.957899999999998, 3922.6873301, 49.9054906, 1411.6129331, 4184.5048595, 28.8150138
0.960999999999998, 3925.2132776, 50.1976221, 1414.1808095, 4179.1839284, 28.7430714
0.964099999999998, 3927.7095792, 50.4902830, 1416.7400379, 4173.9004172, 28.6714700
0.967199999999998, 3930.1765020, 50.7834714, 1419.2906672, 4168.6540134, 28.6002081
0.970299999999998, 3932.6143107, 51.0771856, 1421.8327464, 4163.4444075, 28.5292837
0.973399999999998, 3935.0232678, 51.3714239, 1424.3663236, 4158.2712922, 28.4586953
0.976499999999998, 3937.4036334, 51.6661845, 1426.8914469, 4153.1343632, 28.3884410
